"平成22年基準和歌山市消費者物価指数変化率(前月比)【10倍値】","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"199906","-6","-15","-18","-73","-108","2","-16","-35","-60","15","16","-5","-2","0","-2","0","0","0","0","-4","0","0","0","0","0","-4","-18","0","0","4","5","0","5","3","0","5","10","13","0","0","0","0","-3","0","-16","0","-1","-2","0","0","0","0","0","0","-2","-1","-13","1","2","-2","0","-1","-5","0","0","-63","-108","-60","16","-1","-3","-6","-2","-1","-2","-","-","0","-3","-","","",""
"199907","-6","-3","-1","-20","-32","-89","-5","45","114","64","67","5","2","8","5","-1","0","-1","0","-2","-3","-5","-2","0","0","-2","-5","0","0","0","0","0","-59","-36","0","-44","-121","-162","0","-51","-26","0","-16","0","7","-27","4","5","7","0","0","0","0","0","-5","-48","-4","-2","1","-1","0","0","-7","0","0","39","-32","114","67","-9","-13","-8","-1","0","-11","-","-","0","-3","-","","",""
"199908","0","15","2","46","81","33","11","54","81","14","14","0","-5","3","-10","0","0","-12","-15","0","0","0","0","0","0","-13","-12","0","0","-22","-36","0","-23","-28","0","-31","-25","-41","12","-34","4","0","2","0","9","0","3","4","3","-3","0","0","0","0","-3","-7","-15","2","2","0","0","0","0","0","0","63","81","81","14","-5","3","3","-3","-4","-2","-","-","0","-2","-","","",""
"199909","11","9","-15","15","14","17","19","105","148","-102","-106","7","6","-3","0","3","0","0","1","0","1","0","0","16","0","-3","-3","-19","6","-1","4","0","116","94","0","111","237","334","14","87","-9","0","-3","0","-20","0","-3","-9","0","0","0","0","0","0","7","-9","36","0","-3","0","0","1","0","0","0","27","14","148","-106","10","4","14","1","1","12","-","-","0","4","-","","",""
"199910","10","3","11","-1","-2","-8","-7","18","21","-7","-7","0","-2","0","19","-2","0","42","45","0","4","8","2","0","0","4","-1","14","48","-10","-3","0","3","26","0","31","-32","-51","26","0","4","0","5","7","9","3","4","1","7","0","0","0","0","0","0","-33","0","1","4","1","0","1","0","0","0","5","-2","21","-7","11","1","3","11","20","3","-","-","0","1","-","","",""
"199911","-10","-21","-2","-10","-25","-5","7","-62","-92","-234","-244","0","1","6","-5","0","0","0","0","-1","1","0","0","16","0","-6","-12","0","-16","0","-8","0","-30","-62","0","-73","-2","-2","0","0","0","0","-8","0","-54","0","-1","-1","0","-1","0","0","0","0","-1","-9","1","0","-1","0","0","0","0","0","0","-100","-25","-92","-244","-3","1","-12","-1","-1","-4","-","-","0","-2","-","","",""
"199912","-7","-24","-7","-39","-40","0","13","-76","-114","-265","-279","0","2","0","-1","0","0","0","1","0","3","0","0","75","0","-4","-8","0","0","-8","2","0","-2","9","0","11","-22","-30","0","0","0","0","4","0","25","0","2","2","2","0","0","0","0","0","-2","-13","2","0","-5","0","0","0","0","0","0","-113","-40","-114","-279","-1","-2","-9","1","1","0","-","-","0","-1","-","","",""
"200001","-5","10","5","6","4","-19","-15","-35","-53","491","527","-8","-4","3","9","0","0","0","0","1","6","5","4","0","10","1","1","0","-10","0","9","0","-105","-141","0","-165","-117","-155","-14","-37","-24","0","1","0","8","0","0","1","0","0","0","0","0","0","-5","-35","-18","0","5","0","0","0","-1","0","0","63","4","-53","527","-9","-2","-6","0","0","-11","-","-","-1","-4","-","","",""
"200002","-5","-3","-8","-6","20","6","5","-9","-25","6","6","-4","-2","-6","-4","0","0","-16","-18","1","0","0","0","0","0","-1","11","0","0","-1","-23","0","3","0","0","0","15","23","0","0","-6","0","1","0","4","0","-8","-5","-12","-1","0","0","0","0","-3","-23","2","-1","-1","1","3","0","0","0","0","0","20","-25","6","-5","-3","-3","-4","-7","-2","-","-","0","-4","-","","",""
"200003","1","3","9","23","61","-16","1","26","36","-33","-33","6","6","8","15","0","-10","-2","-2","0","0","0","0","0","0","-2","-16","0","0","0","18","0","4","21","0","24","-37","-54","0","54","1","0","0","0","0","0","3","9","2","-1","0","0","0","0","4","-15","5","0","9","2","0","5","1","0","1","31","61","36","-33","0","-2","3","-3","-5","0","-","-","0","6","-","","",""
"200004","3","-5","0","-20","-50","5","12","-5","-9","-12","-14","1","-8","-5","-3","0","-10","2","3","0","4","8","0","0","0","-1","-2","-5","0","0","0","0","69","67","0","73","141","212","0","0","9","0","4","0","-4","10","-4","-2","3","-16","4","7","3","0","1","-2","4","0","0","-3","0","-6","-4","0","-1","-27","-50","-9","-14","4","-1","3","4","7","5","-","-","4","0","-","","",""
"200005","2","6","-7","35","64","-10","-7","-18","-27","132","138","0","1","4","-3","1","0","0","-1","0","0","0","0","0","0","0","-3","-6","3","0","6","0","2","10","0","12","-13","-16","-7","0","14","0","0","0","-2","0","1","2","1","0","0","0","0","0","-2","-28","-30","1","17","1","0","2","0","0","0","47","64","-27","138","0","-3","1","-3","-6","-1","-","-","0","-1","-","","",""
"200006","-2","-1","-10","-25","-40","25","-13","13","21","-32","-33","-19","-2","2","-1","0","10","-1","-1","0","0","0","0","0","0","-2","-8","0","0","0","2","0","2","3","0","3","1","-3","11","0","10","0","-2","-9","5","0","-2","-1","0","-7","0","0","0","0","-9","-18","7","0","-17","5","0","-2","25","0","0","-19","-40","21","-33","-1","3","-1","0","-1","0","-","-","0","-9","-","","",""
"200007","-4","-5","2","-58","-75","25","-38","32","52","18","19","7","-6","-2","-13","0","-10","0","0","0","5","6","9","0","0","-6","-20","0","-2","0","2","0","-44","-51","0","-56","-60","-85","0","-32","0","0","-7","0","-31","0","1","3","1","-1","0","0","0","0","0","-9","-22","0","12","0","0","0","0","0","0","-11","-75","52","19","-4","-3","-5","0","0","-5","-","-","0","1","-","","",""
"200008","4","-1","0","5","0","11","5","-43","-67","-41","-42","0","10","0","11","0","10","13","15","0","0","0","0","0","0","-1","-8","0","0","1","2","0","-16","-15","0","-16","-20","-29","0","-24","-13","0","1","-4","7","0","2","11","1","-3","0","0","0","0","16","-32","19","1","30","0","0","0","0","0","0","-33","0","-67","-42","6","6","1","4","8","4","-","-","0","17","-","","",""
"200009","2","12","-3","45","67","44","-2","26","44","76","78","-13","-6","3","-11","0","-10","0","0","-3","0","0","0","0","0","-7","7","-42","0","-8","-6","0","27","34","0","36","28","39","2","47","-16","0","-1","-4","0","0","3","-13","12","-2","0","0","0","0","-23","-47","-6","0","-32","-1","0","-2","0","0","0","61","67","44","78","-1","1","3","-2","0","-1","-","-","0","-24","-","","",""
"200010","2","9","-2","-27","-39","-1","3","27","41","194","201","0","6","0","16","2","0","0","0","2","-14","-32","6","13","0","-2","-7","0","0","0","-3","0","43","50","0","56","65","93","3","0","28","0","0","0","0","0","-3","0","3","-14","0","0","0","0","-13","-34","-17","0","-12","0","0","1","0","0","0","45","-39","41","201","0","1","2","2","0","0","-","-","0","-13","-","","",""
"200011","-1","-3","2","41","61","2","3","27","46","-174","-180","-6","-4","-13","6","-1","0","0","-1","0","2","0","0","55","0","-7","-23","-6","0","0","0","0","4","7","0","7","0","0","0","-5","9","0","-1","1","-3","0","0","-2","0","0","0","0","0","0","0","-34","36","-2","-8","4","0","-1","20","0","0","-8","61","46","-180","0","-1","0","-2","-2","0","-","-","0","0","-","","",""
"200012","-3","-12","-6","-8","-10","-5","-5","-22","-33","-207","-213","-2","4","12","-5","0","0","-1","0","-3","-1","0","0","-13","0","-12","-27","0","0","0","-26","0","0","0","0","0","0","0","0","0","0","0","0","0","-2","0","-2","4","-2","-3","0","0","0","0","4","-13","1","1","9","0","0","-3","0","0","0","-64","-10","-33","-213","-1","0","-5","-1","-1","-1","-","-","0","4","-","","",""
"200101","-2","8","1","-6","-2","-16","-5","-25","-40","405","424","11","0","2","-15","0","0","-1","0","-8","3","4","3","0","0","-3","-12","4","-23","3","6","0","-72","-83","0","-91","-96","-137","0","-33","-34","0","12","0","-6","26","0","-1","-1","0","0","0","12","0","4","6","46","1","-15","0","0","-1","0","0","0","63","-2","-40","424","-4","-3","-1","-3","1","-5","-","-","1","4","-","","",""
"200102","0","13","0","55","100","-8","9","26","46","85","89","-5","4","4","-5","0","0","0","0","-6","0","0","0","0","0","-30","-28","-9","-171","-31","5","0","-12","-17","8","-20","-16","-24","0","-2","7","0","-4","0","-14","0","-2","-2","-2","-2","0","0","0","0","-15","-54","-31","0","-4","-5","0","-13","-5","0","0","79","100","46","89","-5","-2","-1","-3","-1","-6","-","-","0","-15","-","","",""
"200103","3","8","3","33","27","-10","4","3","1","46","45","4","29","-7","14","0","0","0","0","0","0","0","0","0","0","-5","10","-35","-105","32","-9","0","17","48","0","54","15","23","0","-47","-67","0","-11","0","-53","0","-5","6","-2","-20","0","0","0","0","4","28","-8","0","8","3","0","0","13","0","0","23","27","1","45","1","4","4","1","1","1","-","-","-1","6","-","","",""
"200104","-3","-14","1","-46","-61","0","4","-4","-4","-120","-121","-16","-7","-8","-12","0","0","9","11","0","3","4","4","0","0","6","18","0","0","-19","27","0","29","26","0","28","46","68","0","25","25","0","0","0","2","0","1","-7","5","0","-15","1","3","-41","-18","-37","-49","0","-6","1","0","-3","0","0","20","-58","-61","-4","-121","1","-3","-6","2","5","-1","-","-","-12","-18","-","","",""
"200105","0","-1","1","14","20","27","-32","-10","-22","-51","-55","-4","-10","17","-18","0","0","0","-1","-5","0","0","0","0","0","-1","-1","0","26","0","-11","0","11","16","0","17","10","17","-4","3","13","0","0","0","-2","0","-8","1","-4","-22","0","0","0","0","8","-62","38","0","9","-3","0","-14","6","0","0","-12","20","-22","-55","1","2","1","-2","-1","1","-","-","0","7","-","","",""
"200106","-2","-8","-6","-47","-67","11","14","-47","-82","12","16","-3","-1","6","1","0","0","0","0","0","0","0","0","0","0","-7","-14","-29","-7","0","4","0","2","2","0","2","1","4","-8","0","5","0","1","0","7","0","0","-1","5","-6","0","0","0","0","-2","-31","7","1","-2","-1","0","0","-6","0","0","-53","-67","-82","16","0","2","-4","0","0","1","-","-","0","-2","-","","",""
"200107","3","22","0","-4","-15","0","-3","-44","-74","638","657","-5","-2","-9","-13","0","0","-1","0","0","0","-1","2","0","0","-6","-32","0","38","-1","0","0","-45","-53","0","-57","-67","-97","0","0","-12","0","-1","0","-4","0","2","6","1","1","0","0","0","0","-5","-12","-32","-1","8","-3","0","-6","-6","0","0","130","-15","-74","657","-4","-2","4","0","0","-5","-","-","0","-3","-","","",""
"200108","-6","-23","-11","19","31","28","-38","14","32","-354","-363","4","3","-2","-24","0","-5","1","1","-1","0","0","0","0","0","-10","-22","1","0","0","-23","0","-17","-17","0","-19","-30","-43","0","0","0","0","0","0","2","-1","4","11","2","0","0","0","0","0","23","34","11","1","32","0","0","1","0","0","0","-110","31","32","-363","2","-2","-6","3","6","1","-","-","0","24","-","","",""
"200109","-2","-8","-1","1","10","9","9","36","69","-192","-198","2","8","-20","7","-13","-9","-1","-1","0","0","0","0","0","0","-4","-5","0","-12","0","-14","0","44","49","0","53","86","135","-13","0","-23","0","-1","0","-5","0","-5","-15","-3","-1","0","0","0","0","-19","-12","6","0","-36","3","0","16","-5","0","0","-26","10","69","-198","-2","-4","-3","-2","-2","-1","-","-","0","-21","-","","",""
"200110","0","0","8","7","10","-59","47","29","49","46","48","3","-19","2","1","0","-4","0","0","0","3","4","1","0","0","10","15","42","0","0","2","0","-2","13","0","14","-38","-54","0","0","36","0","0","0","0","0","2","-2","5","0","0","0","0","0","-3","-15","7","0","-7","0","0","0","0","0","0","32","10","49","48","-1","-7","0","0","0","-2","-","-","0","-3","-","","",""
"200111","-7","-18","-2","-24","-40","47","-5","-81","-135","-192","-197","-7","-11","15","-28","0","-14","-1","0","-8","-3","0","0","-53","0","-4","7","0","-38","-25","7","0","-3","-5","0","-5","1","1","0","-12","0","0","1","0","3","0","-2","0","-3","-1","0","0","0","0","-8","-12","-3","0","-14","0","0","0","0","0","0","-107","-40","-135","-197","-2","2","-8","-4","-1","-2","-","-","0","-8","-","","",""
"200112","-2","-4","0","-21","-20","4","-20","-5","-2","19","19","-18","-3","-8","5","0","0","0","0","0","-1","0","0","-28","0","-16","-24","-24","-12","-5","-20","0","-2","-2","0","-2","-2","-8","10","-3","-5","0","0","0","0","0","-3","4","-7","-3","0","0","0","0","3","-19","-4","2","12","-3","0","-11","-2","0","0","-7","-20","-2","19","-2","-4","-3","0","0","-2","-","-","0","4","-","","",""
"200201","-1","15","7","12","13","7","13","-4","-19","255","268","22","23","-3","-17","0","9","0","0","-1","0","0","-2","0","0","-1","-1","-1","-32","0","3","0","-70","-87","0","-95","-94","-140","0","-1","-34","0","-1","0","-2","0","-1","-2","0","0","0","0","0","0","-4","-22","13","-1","-11","0","0","-1","1","0","0","54","13","-19","268","-3","8","0","0","0","-4","-","-","-3","-4","-","","",""
"200202","3","15","0","35","61","66","1","0","-2","105","108","4","0","-34","13","-1","12","-1","-1","-1","0","0","0","0","0","-7","-23","0","0","0","2","0","-5","-5","0","-5","-11","-16","0","3","-2","0","-1","0","-8","0","-1","-1","-2","0","0","0","0","0","-9","-24","-15","-1","-8","1","0","3","-1","0","0","52","61","-2","108","0","7","3","-2","-4","0","-","-","-1","-10","-","","",""
"200203","2","2","3","-22","-46","8","-2","3","12","32","33","4","-5","-3","29","-2","4","0","0","0","-4","0","-14","0","0","-2","-6","0","3","-2","-6","0","33","81","0","89","7","17","-10","-88","18","0","-6","0","-29","0","2","5","2","0","0","0","0","0","2","10","-7","-1","8","1","0","5","0","0","0","-9","-46","12","33","3","4","2","-1","-1","4","-","-","0","4","-","","",""
"200204","-3","-13","0","16","24","-90","-32","-20","10","37","39","-13","8","-4","-14","1","-10","0","0","-1","-2","-5","0","0","0","-3","-25","0","0","0","17","0","4","-17","0","-19","14","23","0","88","13","0","-10","0","2","-20","-1","-5","0","-1","2","3","0","0","7","-41","34","1","4","19","0","7","78","0","0","24","24","10","39","-4","-20","-3","0","0","-5","-","-","2","6","-","","",""
"200205","-6","-18","-5","3","-2","-83","17","-6","-9","-171","-174","-22","-5","-9","-15","1","10","-2","-3","0","0","0","0","0","0","-2","0","-15","4","-19","17","0","-5","9","0","10","-10","-10","-10","-43","-29","0","-7","0","-35","0","4","1","9","0","-1","-2","0","0","2","9","5","0","-1","-3","0","-1","-14","0","0","-50","-2","-9","-174","-4","-11","-7","-6","-10","-4","-","-","-1","1","-","","",""
"200206","2","4","0","36","38","31","-1","-23","-43","-51","-44","13","0","7","1","1","0","-1","0","0","0","0","0","0","0","-2","-12","0","0","1","8","0","3","7","0","8","1","6","-11","0","0","0","0","0","2","0","0","-2","0","0","0","0","21","0","1","-5","-10","0","7","0","0","-1","0","0","0","-6","38","-43","-44","2","6","2","-1","-1","2","-","-","3","0","-","","",""
"200207","1","11","-8","-4","9","73","1","-10","-47","225","230","-26","0","-11","-16","-5","0","0","0","0","0","0","0","0","0","-2","9","-20","0","0","-9","0","-27","-37","0","-41","-35","-52","0","0","0","0","-4","3","-27","0","0","4","0","-4","0","0","0","0","0","-2","-14","0","8","-1","0","-2","0","0","0","41","9","-47","230","0","5","2","0","0","-1","-","-","-1","2","-","","",""
"200208","0","2","5","28","18","-59","1","63","110","-36","-37","40","0","5","22","1","-9","-13","-15","0","0","0","0","0","0","-12","-4","-6","7","-29","-28","0","-7","-22","21","-26","7","5","9","0","35","0","0","0","1","0","4","13","0","5","0","0","0","0","15","-38","-2","1","34","2","0","6","0","0","0","30","18","110","-37","-3","-3","2","-4","-6","1","-","-","0","16","-","","",""
"200209","-2","3","-11","19","24","-24","29","81","101","-129","-131","0","-8","20","-5","0","0","0","0","2","0","0","0","0","0","-1","-25","0","34","0","7","0","18","-7","0","-9","71","110","1","26","1","0","-4","0","-19","0","-4","-18","0","0","0","0","0","0","-24","-19","-3","-1","-40","3","0","5","9","0","0","9","24","101","-131","-2","1","-2","1","0","-3","-","-","0","-25","-","","",""
"200210","1","-1","-1","-41","-45","21","8","41","72","-91","-101","-11","6","24","-7","0","0","0","0","0","-20","-36","-6","0","0","-2","-1","0","12","6","-18","0","9","9","0","10","24","25","22","-13","-22","0","16","0","-9","33","0","0","0","1","0","0","0","0","7","-11","49","2","-8","2","0","2","5","0","0","-19","-45","72","-101","2","3","1","0","0","2","-","-","0","6","-","","",""
"200211","-7","-17","-25","-34","-49","3","6","-66","-111","-125","-124","-4","-9","-1","22","0","0","0","0","0","-1","0","0","-15","0","-6","-17","0","0","0","-6","0","5","8","0","9","3","6","-1","0","19","0","-2","-21","17","0","-2","-1","-4","0","0","0","0","0","-12","2","-32","-2","-6","0","0","0","0","0","0","-85","-49","-111","-124","-2","-2","-8","0","0","-3","-","-","0","-12","-","","",""
"200212","2","8","15","7","1","20","11","36","65","4","4","-4","3","-5","2","-8","0","0","0","-1","1","0","0","15","0","1","-20","-7","0","0","36","0","-4","-8","0","-8","1","0","0","-2","0","0","-3","-5","0","-3","0","3","0","-1","0","0","0","0","5","-6","5","1","8","-3","0","-9","-3","0","0","23","1","65","4","1","5","3","-1","-1","2","-","-","0","5","-","","",""
"200301","-8","-11","3","-50","-67","-93","-69","37","59","248","261","1","-17","-21","-28","0","0","0","0","0","0","0","0","0","0","3","13","0","-5","-2","4","0","-65","-86","0","-95","-92","-136","-1","0","-5","0","-3","0","-15","0","-1","-1","-3","0","0","0","0","0","-12","-24","-4","0","-18","4","0","17","-4","0","0","37","-67","59","261","-11","-21","-10","0","0","-12","-","-","2","-12","-","","",""
"200302","0","3","1","17","30","-10","45","-9","-15","-32","-35","11","2","-2","53","0","0","0","0","-1","1","0","0","29","0","-5","0","-51","-15","1","13","0","-23","-34","0","-38","-19","-12","-31","0","-33","0","-3","0","-17","0","0","-1","0","2","0","0","0","0","1","-12","6","0","1","-11","0","-15","-28","0","0","-1","30","-15","-35","0","4","-1","0","0","-1","-","-","0","1","-","","",""
